"filename", "language", "C++", "JSON", "Markdown", "Dart", "YAML", "Swift", "XML", "Properties", "HTML", "Groovy", "comment", "blank", "total"
"c:\Users\PC\Desktop\projects\task_one\lib\main.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 8, 57
"c:\Users\PC\Desktop\projects\task_one\lib\services\local_services\sqlite_db.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 1, 15, 125
"c:\Users\PC\Desktop\projects\task_one\lib\services\remote_services\client.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\PC\Desktop\projects\task_one\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\PC\Desktop\projects\task_one\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\PC\Desktop\projects\task_one\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\PC\Desktop\projects\task_one\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\PC\Desktop\projects\task_one\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\PC\Desktop\projects\task_one\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 4, 17
"c:\Users\PC\Desktop\projects\task_one\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\PC\Desktop\projects\task_one\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\PC\Desktop\projects\task_one\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\PC\Desktop\projects\task_one\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\PC\Desktop\projects\task_one\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\PC\Desktop\projects\task_one\pubspec.yaml", "YAML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 60, 15, 102
"c:\Users\PC\Desktop\projects\task_one\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\PC\Desktop\projects\task_one\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 16, 6, 60
"c:\Users\PC\Desktop\projects\task_one\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
